Player,Pos,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Jaxson Hayes\hayesja02,C,.672,0.0,.674,.647,4.0,0.9,0.4,0.9,0.8,7.4
Gordon Hayward\haywago01,SF,.500,1.6,.561,.855,6.7,4.1,0.7,0.4,1.8,17.5
John Henson\hensojo01,C,.556,0.2,.579,.500,4.1,1.4,0.6,1.1,0.9,5.5
Dewan Hernandez\hernade01,C,.357,0.2,.393,.600,2.3,0.5,0.2,0.0,0.5,2.3
Juan Hernangómez\hernaju01,PF,.405,0.9,.494,.620,4.1,0.8,0.4,0.2,0.7,6.0
Willy Hernangómez\hernawi01,C,.532,0.2,.550,.627,4.3,0.9,0.3,0.2,1.0,6.1
Tyler Herro\herroty01,SG,.428,2.1,.520,.870,4.1,2.2,0.6,0.2,1.6,13.5
Kevin Hervey\herveke01,PF,.259,0.3,.315,,1.2,0.5,0.1,0.1,0.0,1.7
Mario Hezonja\hezonma01,PF,.422,0.5,.477,.814,3.5,0.9,0.7,0.2,0.8,4.8
Buddy Hield\hieldbu01,SG,.429,3.8,.545,.846,4.6,3.0,0.9,0.2,2.3,19.2
George Hill\hillge01,PG,.516,1.4,.624,.842,3.0,3.1,0.8,0.1,1.0,9.4
Solomon Hill\hillso01,PF,.396,1.1,.509,.741,2.8,1.8,0.7,0.2,0.9,5.5
Jaylen Hoard\hoardja01,PF,.469,0.0,.469,.615,2.5,0.3,0.4,0.0,0.3,2.9
Aaron Holiday\holidaa01,PG,.414,1.3,.491,.851,2.4,3.4,0.8,0.2,1.3,9.5
Jrue Holiday\holidjr01,SG,.455,2.0,.516,.709,4.8,6.7,1.6,0.8,3.0,19.1
Justin Holiday\holidju01,SF,.428,1.8,.566,.791,3.3,1.3,1.2,0.6,0.6,8.3
Rondae Hollis-Jefferson\holliro01,PF,.471,0.1,.476,.734,4.7,1.8,0.8,0.4,1.0,7.0
Richaun Holmes\holmeri01,C,.648,0.0,.648,.788,8.1,1.0,0.9,1.3,1.2,12.3
Rodney Hood\hoodro01,SF,.506,1.7,.608,.778,3.4,1.5,0.8,0.2,0.9,11.0
Al Horford\horfoal01,C,.450,1.5,.520,.763,6.8,4.0,0.8,0.9,1.2,11.9
Talen Horton-Tucker\hortota01,SG,.467,0.7,.533,.500,1.2,1.0,1.3,0.2,1.0,5.7
Danuel House\houseda01,SF,.427,2.0,.546,.811,4.2,1.3,1.1,0.5,0.9,10.5
Dwight Howard\howardw01,C,.729,0.0,.735,.514,7.3,0.7,0.4,1.1,1.2,7.5
William Howard\howarwi01,PF,.000,0.0,.000,,1.0,0.5,0.0,0.0,0.5,0.0
Kevin Huerter\huertke01,SG,.413,2.3,.517,.828,4.1,3.8,0.9,0.5,1.6,12.2
De'Andre Hunter\huntede01,SF,.410,1.7,.489,.764,4.5,1.8,0.7,0.3,1.6,12.3
Chandler Hutchison\hutchch01,SF,.457,0.4,.491,.590,3.9,0.9,1.0,0.3,1.0,7.8
Serge Ibaka\ibakase01,C,.512,1.3,.564,.718,8.2,1.4,0.5,0.8,2.0,15.4
Andre Iguodala\iguodan01,SF,.432,0.7,.511,.400,3.7,2.4,0.7,1.0,1.2,4.6
Ersan İlyasova\ilyaser01,PF,.466,0.8,.546,.828,4.8,0.8,0.4,0.3,0.5,6.6
Joe Ingles\inglejo01,PF,.445,2.0,.572,.787,3.9,5.2,0.9,0.2,2.0,9.8
Brandon Ingram\ingrabr01,PF,.463,2.4,.531,.851,6.1,4.2,1.0,0.6,3.0,23.8
Kyrie Irving\irvinky01,PG,.478,2.8,.546,.922,5.2,6.4,1.4,0.5,2.6,27.4
Jonathan Isaac\isaacjo01,PF,.470,0.9,.518,.779,6.8,1.4,1.6,2.3,1.4,11.9
Wesley Iwundu\iwundwe01,SF,.416,0.5,.476,.804,2.5,1.2,0.5,0.3,0.5,5.8
Frank Jackson\jacksfr01,PG,.405,0.8,.476,.747,1.4,1.0,0.3,0.1,0.8,6.3
Jaren Jackson Jr.\jacksja02,C,.469,2.5,.565,.747,4.6,1.4,0.7,1.6,1.7,17.4
Josh Jackson\jacksjo02,SF,.440,1.0,.513,.700,3.0,1.6,0.8,0.4,1.3,9.0
Justin Jackson\jacksju01,PF,.396,0.7,.466,.840,2.4,0.8,0.2,0.2,0.2,5.5
Reggie Jackson\jacksre01,SG-PG,.411,1.8,.498,.833,3.0,4.1,0.4,0.2,1.6,11.9
Justin James\jamesju01,SF,.417,0.3,.470,.476,0.9,0.5,0.2,0.3,0.2,2.5
LeBron James\jamesle01,PG,.493,2.2,.550,.693,7.8,10.2,1.2,0.5,3.9,25.3
Amile Jefferson\jeffeam01,PF,.357,0.0,.357,.357,1.3,0.2,0.1,0.2,0.2,0.8
DaQuan Jeffries\jeffrda01,SG,.500,0.4,.563,.833,1.4,0.5,0.3,0.1,0.2,3.8
Ty Jerome\jeromty01,SG,.336,0.5,.398,.750,1.5,1.4,0.5,0.1,0.6,3.3
Alize Johnson\johnsal02,PF,.414,0.2,.466,.700,2.8,0.4,0.2,0.1,0.4,2.0
