Player,Pos,G,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Stephen Curry\curryst01,PG,63,.482,5.3,.605,.916,5.5,5.8,1.2,0.1,3.4,32.0
Nate Darling\darlina01,SG,7,.286,0.3,.429,1.000,0.1,0.1,0.0,0.1,0.1,1.3
Anthony Davis\davisan02,PF,36,.491,0.7,.512,.738,7.9,3.1,1.3,1.6,2.1,21.8
Ed Davis\davised01,C,23,.432,0.0,.432,.833,5.0,0.9,0.6,0.6,0.3,2.1
Terence Davis\daviste02,SG,61,.428,1.6,.535,.818,2.5,1.4,0.7,0.2,1.0,8.7
Gabriel Deck\deckga01,PF,10,.478,0.2,.493,.818,4.0,2.4,0.8,0.0,0.6,8.4
Dewayne Dedmon\dedmode01,C,16,.708,0.1,.715,.741,5.4,0.8,0.6,0.4,0.8,7.1
Matthew Dellavedova\dellama01,PG,13,.250,0.3,.286,1.000,1.8,4.5,0.3,0.1,0.5,2.8
DeMar DeRozan\derozde01,PF,61,.495,0.3,.505,.880,4.2,6.9,0.9,0.2,2.0,21.6
Mamadi Diakite\diakima01,PF,14,.400,0.1,.413,.786,2.4,0.6,0.5,0.4,0.2,3.1
Hamidou Diallo\diallha01,SG-SF,52,.477,0.5,.506,.640,5.2,1.9,0.8,0.5,1.5,11.6
Gorgui Dieng\dienggo01,C,38,.521,0.8,.613,.866,3.7,1.3,0.7,0.4,0.8,6.8
Spencer Dinwiddie\dinwisp01,SG,3,.375,0.7,.438,1.000,4.3,3.0,0.7,0.3,1.7,6.7
Donte DiVincenzo\divindo01,SG,66,.420,2.0,.528,.718,5.8,3.1,1.1,0.2,1.4,10.4
Luka Dončić\doncilu01,PG,66,.479,2.9,.550,.730,8.0,8.6,1.0,0.5,4.3,27.7
Luguentz Dort\dortlu01,SG,52,.387,2.2,.475,.744,3.6,1.7,0.9,0.4,1.5,14.0
Damyean Dotson\dotsoda01,SG,46,.406,1.0,.485,.667,2.0,2.0,0.3,0.1,0.9,6.7
Devon Dotson\dotsode01,PG,11,.524,0.1,.548,,0.5,0.6,0.4,0.0,0.0,2.1
Sekou Doumbouya\doumbse01,PF,56,.379,0.5,.426,.703,2.6,0.8,0.4,0.2,0.8,5.1
PJ Dozier\doziepj01,SG,50,.417,0.9,.483,.636,3.6,1.8,0.6,0.4,0.9,7.7
Goran Dragić\dragigo01,PG,50,.432,1.8,.514,.828,3.4,4.4,0.7,0.2,2.4,13.4
Andre Drummond\drumman01,C,46,.493,0.0,.493,.600,12.0,2.0,1.4,1.1,2.7,14.9
Jared Dudley\dudleja01,PF,12,.222,0.2,.333,,1.8,0.4,0.1,0.1,0.2,0.5
Kris Dunn\dunnkr01,PG,4,.083,0.0,.083,.750,1.5,0.5,0.5,0.5,0.8,1.3
Kevin Durant\duranke01,PF,35,.537,2.4,.608,.882,7.1,5.6,0.7,1.3,3.4,26.9
Anthony Edwards\edwaran01,SG,72,.417,2.4,.488,.776,4.7,2.9,1.1,0.5,2.2,19.3
Carsen Edwards\edwarca01,SG,31,.423,0.6,.505,.846,0.8,0.5,0.2,0.0,0.2,4.0
CJ Elleby\ellebcj01,SF,30,.379,0.2,.432,.733,1.1,0.3,0.2,0.1,0.2,2.3
Henry Ellenson\ellenhe01,PF,2,.357,1.0,.429,.750,6.0,2.5,0.0,0.0,0.0,7.5
